timestep,hour,eta_plus_mean,eta_plus_std,eta_minus_mean,eta_minus_std,eta_p_mean,eta_p_std
0,0.0,0.019609,0.000002,0.124964,0.040696,0.855427,0.040697
1,0.5,0.019611,0.000003,0.148297,0.050375,0.832093,0.050375
2,1.0,0.019610,0.000003,0.164721,0.061500,0.815669,0.061499
3,1.5,0.019609,0.000002,0.151066,0.048730,0.829325,0.048730
4,2.0,0.019609,0.000003,0.151975,0.046110,0.828416,0.046110
5,2.5,0.019612,0.000004,0.159715,0.046252,0.820674,0.046253
6,3.0,0.019610,0.000004,0.166683,0.068373,0.813707,0.068373
7,3.5,0.019611,0.000004,0.169619,0.066699,0.810771,0.066699
8,4.0,0.019695,0.000086,0.157073,0.062647,0.823231,0.062664
9,4.5,0.022391,0.002011,0.121736,0.037142,0.855873,0.036973
10,5.0,0.100256,0.073135,0.086180,0.035875,0.813564,0.058057
11,5.5,0.229704,0.062410,0.046435,0.034658,0.723861,0.058573
12,6.0,0.286122,0.026740,0.024390,0.003262,0.689488,0.027944
13,6.5,0.310484,0.043656,0.022476,0.001757,0.667040,0.043106
14,7.0,0.379470,0.058953,0.021097,0.001278,0.599433,0.057957
15,7.5,0.419442,0.052557,0.020523,0.000582,0.560035,0.052351
16,8.0,0.458666,0.054717,0.020221,0.000335,0.521112,0.054638
17,8.5,0.476264,0.038258,0.019993,0.000293,0.503743,0.038298
18,9.0,0.395837,0.048683,0.020064,0.000375,0.584099,0.048582
19,9.5,0.449782,0.071108,0.020025,0.000277,0.530193,0.070965
20,10.0,0.437914,0.061535,0.019992,0.000336,0.542095,0.061443
21,10.5,0.485895,0.055144,0.019906,0.000196,0.494199,0.055125
22,11.0,0.490344,0.060119,0.019983,0.000365,0.489673,0.060008
23,11.5,0.470694,0.070374,0.020069,0.000297,0.509237,0.070146
24,12.0,0.446949,0.088954,0.019903,0.000172,0.533148,0.088878
25,12.5,0.416737,0.071023,0.019981,0.000225,0.563283,0.070927
26,13.0,0.489841,0.035067,0.019871,0.000251,0.490289,0.034875
27,13.5,0.498410,0.053930,0.020067,0.000267,0.481523,0.053817
28,14.0,0.516907,0.052187,0.019916,0.000234,0.463178,0.052179
29,14.5,0.509553,0.049630,0.019958,0.000159,0.470489,0.049557
30,15.0,0.412722,0.072626,0.020181,0.000422,0.567097,0.072352
31,15.5,0.416919,0.071430,0.021592,0.002592,0.561489,0.069384
32,16.0,0.411016,0.051909,0.020896,0.000907,0.568089,0.051667
33,16.5,0.394822,0.039592,0.021692,0.001502,0.583486,0.039244
34,17.0,0.362667,0.036695,0.025095,0.002906,0.612238,0.036505
35,17.5,0.219514,0.070399,0.060800,0.039690,0.719686,0.043099
36,18.0,0.059381,0.027041,0.118608,0.033276,0.822011,0.037169
37,18.5,0.024553,0.003115,0.141340,0.034583,0.834107,0.033827
38,19.0,0.020200,0.000436,0.186408,0.057737,0.793393,0.057918
39,19.5,0.019665,0.000064,0.191019,0.047827,0.789316,0.047835
40,20.0,0.019608,0.000001,0.204015,0.053957,0.776377,0.053958
41,20.5,0.019608,0.000001,0.183622,0.040016,0.796769,0.040016
