timestep,hour,eta_plus_mean,eta_plus_std,eta_minus_mean,eta_minus_std,eta_p_mean,eta_p_std
0,24.00,0.020000,0.000001,0.226125,0.071622,0.753875,0.071623
1,24.50,0.020000,0.000001,0.217304,0.076681,0.762696,0.076681
2,25.00,0.020000,0.000002,0.234303,0.084911,0.745697,0.084911
3,25.50,0.020000,0.000002,0.245360,0.082948,0.734640,0.082949
4,26.00,0.020000,0.000002,0.246018,0.081413,0.733982,0.081414
5,26.50,0.020000,0.000002,0.246563,0.091287,0.733436,0.091287
6,27.00,0.020000,0.000002,0.244634,0.093085,0.735366,0.093086
7,27.50,0.020000,0.000002,0.239610,0.091171,0.740389,0.091172
8,28.00,0.020000,0.000002,0.241542,0.086609,0.738458,0.086609
9,28.50,0.020020,0.000039,0.212494,0.080377,0.767486,0.080373
10,29.00,0.020257,0.000183,0.182481,0.072002,0.797262,0.072036
11,29.50,0.027847,0.004986,0.135420,0.047645,0.836733,0.048206
12,30.00,0.097081,0.081467,0.114090,0.045651,0.788828,0.083558
13,30.50,0.220805,0.040471,0.048864,0.026882,0.730331,0.041820
14,31.00,0.243201,0.035515,0.028094,0.004928,0.728705,0.033427
15,31.50,0.340134,0.039619,0.022534,0.001496,0.637331,0.038894
16,32.00,0.410971,0.039860,0.021200,0.000769,0.567829,0.039472
17,32.50,0.431588,0.038880,0.020721,0.000539,0.547691,0.038633
18,33.00,0.446816,0.040328,0.020443,0.000333,0.532741,0.040231
19,33.50,0.440492,0.038104,0.020305,0.000258,0.539203,0.038027
20,34.00,0.436180,0.037815,0.020250,0.000245,0.543570,0.037731
21,34.50,0.450514,0.037790,0.020234,0.000244,0.529253,0.037706
22,35.00,0.463159,0.038549,0.020210,0.000229,0.516631,0.038449
23,35.50,0.485682,0.039814,0.020215,0.000201,0.494103,0.039719
24,36.00,0.510710,0.040785,0.020217,0.000205,0.469073,0.040687
25,36.50,0.533403,0.043026,0.020235,0.000196,0.446363,0.042921
26,37.00,0.535430,0.046633,0.020268,0.000220,0.444302,0.046490
27,37.50,0.558781,0.044396,0.020288,0.000231,0.420931,0.044258
28,38.00,0.556898,0.045036,0.020294,0.000218,0.422807,0.044910
29,38.50,0.544244,0.044760,0.020345,0.000236,0.435410,0.044627
30,39.00,0.527508,0.045311,0.020426,0.000245,0.452066,0.045177
31,39.50,0.547133,0.045586,0.020623,0.000340,0.432244,0.045380
32,40.00,0.521972,0.045639,0.020890,0.000401,0.457139,0.045354
33,40.50,0.504315,0.047188,0.021408,0.000640,0.474277,0.046751
34,41.00,0.477950,0.048286,0.022136,0.001089,0.499914,0.047595
35,41.50,0.429029,0.046705,0.024230,0.002692,0.546741,0.045186
36,42.00,0.327858,0.043968,0.036663,0.017892,0.635479,0.037442
37,42.50,0.160286,0.092526,0.108883,0.041679,0.730831,0.085583
38,43.00,0.022446,0.001223,0.180945,0.046680,0.796609,0.047275
