day,hour,kappa_c_mean,kappa_c_std
0,0,0.834484,0.159925
0,3,0.399141,0.223661
0,6,0.294011,0.002837
0,9,4.334401,0.417921
0,12,6.471838,0.643822
0,15,5.649629,0.614973
0,18,0.411821,0.236114
0,21,1.468552,0.014169
1,0,0.834505,0.159973
1,3,0.410880,0.233033
1,6,0.294011,0.002837
1,9,4.780473,0.545120
1,12,7.528785,0.734121
1,15,6.013894,0.595881
1,18,0.611506,0.315748
1,21,1.444973,0.115247
2,0,0.857971,0.115876
2,3,0.434187,0.248571
2,6,0.294011,0.002837
2,9,5.015692,0.537977
2,12,7.082164,0.616897
2,15,6.072686,0.591266
2,18,0.799000,0.262749
2,21,1.386293,0.204023
3,0,0.857892,0.115668
3,3,0.422752,0.241892
3,6,0.294011,0.002837
3,9,4.510708,0.480767
3,12,7.152874,0.675433
3,15,5.414401,0.506992
3,18,0.517191,0.285150
3,21,1.374884,0.217042
4,0,0.881282,0.008503
4,3,0.422522,0.241174
4,6,0.294011,0.002837
4,9,3.734968,0.436274
4,12,6.342202,0.617971
4,15,5.285328,0.524014
4,18,0.376262,0.203935
4,21,1.304684,0.266231
5,0,0.881282,0.008503
5,3,0.422491,0.241078
5,6,0.294011,0.002837
5,9,2.666406,0.481715
5,12,6.800922,0.672876
5,15,5.285508,0.575516
5,18,0.317421,0.114515
5,21,1.304361,0.264959
6,0,0.858013,0.115989
6,3,0.434412,0.249246
6,6,0.294011,0.002837
6,9,2.525578,0.405774
6,12,5.191247,0.589426
6,15,3.887875,0.531446
6,18,0.305657,0.081212
6,21,1.362734,0.225531
