day,hour,kappa_c_mean,kappa_c_std
0,0,0.834484,0.159925
0,3,0.399141,0.223661
0,6,0.294011,0.002837
0,9,4.357909,0.452457
0,12,6.518918,0.620546
0,15,5.707833,0.570819
0,18,0.411755,0.235901
0,21,1.456686,0.082102
1,0,0.846322,0.140364
1,3,0.410880,0.233033
1,6,0.294011,0.002837
1,9,4.827367,0.521951
1,12,7.563955,0.670229
1,15,6.037503,0.591337
1,18,0.646503,0.310684
1,21,1.421552,0.159810
2,0,0.857971,0.115876
2,3,0.445991,0.255618
2,6,0.294011,0.002837
2,9,5.026413,0.534471
2,12,7.069882,0.611943
2,15,6.072593,0.601684
2,18,0.799000,0.262749
2,21,1.374594,0.215737
3,0,0.869541,0.082673
3,3,0.434363,0.249098
3,6,0.294011,0.002837
3,9,4.569047,0.496032
3,12,7.152563,0.701562
3,15,5.426228,0.568898
3,18,0.540861,0.290342
3,21,1.374453,0.215094
4,0,0.881282,0.008503
4,3,0.410897,0.233087
4,6,0.294011,0.002837
4,9,3.794036,0.387791
4,12,6.365634,0.587234
4,15,5.203091,0.490476
4,18,0.364498,0.190933
4,21,1.304562,0.265759
5,0,0.881282,0.008503
5,3,0.457965,0.262411
5,6,0.294011,0.002837
5,9,2.677803,0.441970
5,12,6.894132,0.631533
5,15,5.297357,0.552030
5,18,0.317421,0.114515
5,21,1.280704,0.274546
6,0,0.869712,0.083285
6,3,0.446299,0.256503
6,6,0.294011,0.002837
6,9,2.549217,0.395766
6,12,5.238418,0.495952
6,15,3.829281,0.490024
6,18,0.305657,0.081212
6,21,1.362852,0.226064
