day,hour,kappa_c_mean,kappa_c_std
0,0,0.834484,0.159925
0,3,0.399141,0.223661
0,6,0.294011,0.002837
0,9,4.346067,0.410689
0,12,6.471572,0.672070
0,15,5.660959,0.636820
0,18,0.411821,0.236114
0,21,1.456907,0.084478
1,0,0.846322,0.140364
1,3,0.410880,0.233033
1,6,0.294011,0.002837
1,9,4.768921,0.509689
1,12,7.540203,0.722925
1,15,6.001886,0.595599
1,18,0.634742,0.312654
1,21,1.456812,0.083478
2,0,0.857971,0.115876
2,3,0.422491,0.241078
2,6,0.294011,0.002837
2,9,5.015811,0.526253
2,12,7.011422,0.636432
2,15,6.084134,0.522742
2,18,0.799000,0.262749
2,21,1.362959,0.226519
3,0,0.857892,0.115668
3,3,0.422752,0.241892
3,6,0.294011,0.002837
3,9,4.545894,0.492316
3,12,7.176733,0.664406
3,15,5.426463,0.533682
3,18,0.517191,0.285150
3,21,1.363249,0.227777
4,0,0.881282,0.008503
4,3,0.410897,0.233087
4,6,0.294011,0.002837
4,9,3.735242,0.437958
4,12,6.260461,0.578444
4,15,5.215182,0.548518
4,18,0.376262,0.203935
4,21,1.292427,0.269636
5,0,0.881282,0.008503
5,3,0.422491,0.241078
5,6,0.294011,0.002837
5,9,2.666277,0.451498
5,12,6.800692,0.670686
5,15,5.262172,0.588220
5,18,0.317421,0.114515
5,21,1.292615,0.270380
6,0,0.869712,0.083285
6,3,0.422491,0.241078
6,6,0.294011,0.002837
6,9,2.561242,0.373745
6,12,5.180075,0.518154
6,15,3.888069,0.492042
6,18,0.305657,0.081212
6,21,1.350889,0.234385
