day,hour,kappa_c_mean,kappa_c_std
0,0,0.775572,0.225765
0,3,0.363985,0.188753
0,6,0.294011,0.002837
0,9,4.181155,0.478711
0,12,6.295017,0.757113
0,15,5.484321,0.699656
0,18,0.376427,0.204607
0,21,1.374217,0.214052
1,0,0.775781,0.226128
1,3,0.375724,0.201824
1,6,0.294011,0.002837
1,9,4.685779,0.570728
1,12,7.269390,0.873313
1,15,5.824833,0.685414
1,18,0.587826,0.316303
1,21,1.327145,0.249300
2,0,0.787287,0.215395
2,3,0.410835,0.232891
2,6,0.294011,0.002837
2,9,4.849998,0.607837
2,12,6.776168,0.751003
2,15,5.907564,0.681362
2,18,0.810921,0.253112
2,21,1.303856,0.262976
3,0,0.787092,0.215050
3,3,0.387596,0.213951
3,6,0.294011,0.002837
3,9,4.415693,0.561894
3,12,6.928596,0.803441
3,15,5.214525,0.614347
3,18,0.493664,0.278208
3,21,1.315818,0.257758
4,0,0.822295,0.175859
4,3,0.387366,0.213101
4,6,0.294011,0.002837
4,9,3.581747,0.476913
4,12,6.047614,0.720783
4,15,5.050037,0.533949
4,18,0.352631,0.175711
4,21,1.222275,0.291581
5,0,0.845923,0.139435
5,3,0.399139,0.223657
5,6,0.294011,0.002837
5,9,2.548322,0.484525
5,12,6.541626,0.787985
5,15,5.097316,0.667832
5,18,0.305657,0.081212
5,21,1.221956,0.290346
6,0,0.810789,0.190975
6,3,0.387335,0.212987
6,6,0.294011,0.002837
6,9,2.431589,0.419068
6,12,5.026513,0.630548
6,15,3.757854,0.559092
6,18,0.305657,0.081212
6,21,1.268679,0.277727
