day,hour,kappa_c_mean,kappa_c_std
0,0,0.292955,0.001732
0,3,0.292955,0.001732
0,6,0.292955,0.001732
0,9,2.165875,0.238693
0,12,3.160531,0.318959
0,15,2.750834,0.352127
0,18,0.292955,0.001732
0,21,0.878116,0.005192
1,0,0.292955,0.001732
1,3,0.292955,0.001732
1,6,0.292955,0.001732
1,9,2.282092,0.283525
1,12,3.628715,0.379127
1,15,2.925578,0.286995
1,18,0.292955,0.001732
1,21,0.878116,0.005192
2,0,0.292955,0.001732
2,3,0.292955,0.001732
2,6,0.292955,0.001732
2,9,2.399815,0.289270
2,12,3.394170,0.267022
2,15,2.925578,0.286995
2,18,0.292955,0.001732
2,21,0.819621,0.175666
3,0,0.292955,0.001732
3,3,0.292955,0.001732
3,6,0.292955,0.001732
3,9,2.224119,0.269661
3,12,3.569966,0.288808
3,15,2.516875,0.354082
3,18,0.292955,0.001732
3,21,0.819621,0.175666
4,0,0.292955,0.001732
4,3,0.292955,0.001732
4,6,0.292955,0.001732
4,9,1.696930,0.284231
4,12,3.160531,0.318959
4,15,2.516622,0.235045
4,18,0.292955,0.001732
4,21,0.643461,0.285606
5,0,0.292955,0.001732
5,3,0.292955,0.001732
5,6,0.292955,0.001732
5,9,1.228439,0.283738
5,12,3.278023,0.323185
5,15,2.516875,0.354082
5,18,0.292955,0.001732
5,21,0.644514,0.287557
6,0,0.292955,0.001732
6,3,0.292955,0.001732
6,6,0.292955,0.001732
6,9,1.170265,0.290924
6,12,2.457661,0.373345
6,15,1.813751,0.283138
6,18,0.292955,0.001732
6,21,0.701705,0.266672
