day,hour,kappa_c_mean,kappa_c_std
0,0,0.292955,0.001732
0,3,0.292955,0.001732
0,6,0.292955,0.001732
0,9,0.878116,0.005192
0,12,1.405103,0.177559
0,15,1.228590,0.284322
0,18,0.292955,0.001732
0,21,0.292955,0.001732
1,0,0.292955,0.001732
1,3,0.292955,0.001732
1,6,0.292955,0.001732
1,9,0.936865,0.177481
1,12,1.522026,0.178383
1,15,1.405103,0.177559
1,18,0.292955,0.001732
1,21,0.292955,0.001732
2,0,0.292955,0.001732
2,3,0.292955,0.001732
2,6,0.292955,0.001732
2,9,0.995361,0.235343
2,12,1.463278,0.008652
2,15,1.346299,0.234436
2,18,0.292955,0.001732
2,21,0.292955,0.001732
3,0,0.292955,0.001732
3,3,0.292955,0.001732
3,6,0.292955,0.001732
3,9,0.936865,0.177481
3,12,1.522026,0.178383
3,15,1.111850,0.285323
3,18,0.292955,0.001732
3,21,0.292955,0.001732
4,0,0.292955,0.001732
4,3,0.292955,0.001732
4,6,0.292955,0.001732
4,9,0.878116,0.005192
4,12,1.463278,0.008652
4,15,0.995553,0.236442
4,18,0.292955,0.001732
4,21,0.292955,0.001732
5,0,0.292955,0.001732
5,3,0.292955,0.001732
5,6,0.292955,0.001732
5,9,0.585935,0.293393
5,12,1.463278,0.008652
5,15,1.053797,0.268851
5,18,0.292955,0.001732
5,21,0.292955,0.001732
6,0,0.292955,0.001732
6,3,0.292955,0.001732
6,6,0.292955,0.001732
6,9,0.527132,0.286931
6,12,1.054049,0.270048
6,15,0.878116,0.005192
6,18,0.292955,0.001732
6,21,0.292955,0.001732
