day,hour,kappa_c_mean,kappa_c_std
0,0,0.292955,0.001732
0,3,0.292955,0.001732
0,6,0.292955,0.001732
0,9,2.165875,0.238693
0,12,3.102049,0.354859
0,15,2.750834,0.352127
0,18,0.292955,0.001732
0,21,0.878116,0.005192
1,0,0.292955,0.001732
1,3,0.292955,0.001732
1,6,0.292955,0.001732
1,9,2.282092,0.283525
1,12,3.569488,0.386105
1,15,2.925578,0.286995
1,18,0.292955,0.001732
1,21,0.878116,0.005192
2,0,0.292955,0.001732
2,3,0.292955,0.001732
2,6,0.292955,0.001732
2,9,2.282092,0.283525
2,12,3.452414,0.282235
2,15,2.867334,0.283704
2,18,0.292955,0.001732
2,21,0.702758,0.268531
3,0,0.292955,0.001732
3,3,0.292955,0.001732
3,6,0.292955,0.001732
3,9,2.165875,0.238693
3,12,3.569488,0.386105
3,15,2.575678,0.320294
3,18,0.292955,0.001732
3,21,0.703202,0.269302
4,0,0.292955,0.001732
4,3,0.292955,0.001732
4,6,0.292955,0.001732
4,9,1.696930,0.284231
4,12,3.043554,0.378415
4,15,2.575370,0.318250
4,18,0.292955,0.001732
4,21,0.585287,0.292103
5,0,0.292955,0.001732
5,3,0.292955,0.001732
5,6,0.292955,0.001732
5,9,1.229492,0.287864
5,12,3.394240,0.373480
5,15,2.516875,0.354082
5,18,0.292955,0.001732
5,21,0.586542,0.294614
6,0,0.292955,0.001732
6,3,0.292955,0.001732
6,6,0.292955,0.001732
6,9,1.170265,0.290924
6,12,2.457661,0.373345
6,15,1.755426,0.290152
6,18,0.292955,0.001732
6,21,0.760933,0.233855
