gamma,m,kc_mean,kc_std,n_valid
0.1000,0,7.659356,0.655299,50
0.1000,4,3.867364,0.356472,50
0.4500,0,7.465879,0.627345,50
0.4500,4,3.770454,0.336600,50
0.8000,0,7.266172,0.629105,50
0.8000,4,3.660374,0.314644,50
1.0000,0,7.180707,0.642711,50
1.0000,4,3.595672,0.297369,50
1.1500,0,7.106026,0.597045,50
1.1500,4,3.564882,0.322104,50
1.5000,0,6.928345,0.598976,50
1.5000,4,3.463606,0.295206,50
1.8500,0,6.798953,0.598779,50
1.8500,4,3.403238,0.309517,50
2.2000,0,6.627230,0.588157,50
2.2000,4,3.338744,0.290747,50
2.5500,0,6.505220,0.596592,50
2.5500,4,3.274115,0.291422,50
2.9000,0,6.371863,0.557185,50
2.9000,4,3.215489,0.291405,50
3.2500,0,6.263247,0.545163,50
3.2500,4,3.153730,0.284872,50
3.6000,0,6.164985,0.540896,50
3.6000,4,3.115473,0.277945,50
3.9500,0,6.103258,0.534249,50
3.9500,4,3.074452,0.284107,50
4.3000,0,6.040156,0.526405,50
4.3000,4,3.046439,0.270525,50
4.6500,0,5.996116,0.525146,50
4.6500,4,3.018630,0.277288,50
5.0000,0,5.966732,0.521480,50
5.0000,4,3.011255,0.279399,50
